customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,OnlineSecurity,TechSupport,StreamingTV,Contract,PaymentMethod,MonthlyCharges,Churn
CUST100000,Male,0.0,Yes,No,6.0,Yes,Fiber optic,Yes,No internet service,No internet service,Two year,Mailed check,118.98,No
CUST100001,Female,0.0,Yes,No,68.0,,,No internet service,No internet service,Yes,One year,Electronic check,48.22,No
CUST100002,Female,0.0,No,Yes,37.0,No,DSL,Yes,No,Yes,Two year,Credit card (automatic),110.97,No
CUST100003,Male,0.0,Yes,No,71.0,Yes,DSL,No internet service,No,Yes,Two year,Electronic check,109.67,Yes
CUST100004,Male,0.0,Yes,No,29.0,Yes,DSL,Yes,,No internet service,One year,Electronic check,105.22,No
CUST100005,Female,0.0,Yes,Yes,59.0,Yes,DSL,Yes,No,No,One year,Bank transfer (automatic),34.17,No
CUST100006,Male,0.0,No,Yes,23.0,Yes,No,Yes,No internet service,No internet service,Month-to-month,Credit card (automatic),85.29,No
CUST100007,Female,0.0,,,31.0,Yes,DSL,Yes,Yes,No internet service,One year,Electronic check,56.75,No
CUST100008,Male,0.0,No,No,24.0,Yes,Fiber optic,No,Yes,No internet service,Month-to-month,Credit card (automatic),66.23,Yes
CUST100009,Male,0.0,Yes,No,39.0,Yes,No,Yes,No,No internet service,One year,Electronic check,33.72,No
CUST100010,Female,0.0,,No,16.0,Yes,DSL,Yes,No,No,Month-to-month,Credit card (automatic),117.68,No
CUST100011,Female,0.0,Yes,Yes,36.0,Yes,Fiber optic,No,,No,One year,Mailed check,45.09,Yes
CUST100012,Female,0.0,No,Yes,60.0,Yes,DSL,No,Yes,Yes,One year,Mailed check,105.57,No
CUST100013,Female,0.0,Yes,No,11.0,Yes,DSL,No,No,No,Month-to-month,Credit card (automatic),24.14,No
CUST100014,Female,0.0,Yes,Yes,57.0,Yes,Fiber optic,Yes,No,No,One year,Mailed check,98.82,Yes
CUST100015,,0.0,No,No,61.0,Yes,Fiber optic,Yes,Yes,No internet service,Month-to-month,Mailed check,99.28,No
CUST100016,Female,0.0,No,Yes,2.0,Yes,No,Yes,No,No internet service,One year,Mailed check,44.62,No
CUST100017,Male,0.0,Yes,No,48.0,Yes,Fiber optic,No internet service,No internet service,No,One year,Mailed check,75.88,Yes
CUST100018,Female,0.0,Yes,Yes,34.0,Yes,,No,Yes,Yes,One year,Mailed check,48.36,Yes
CUST100019,Male,0.0,Yes,Yes,45.0,Yes,DSL,Yes,Yes,Yes,One year,Bank transfer (automatic),39.48,No
CUST100020,Female,1.0,No,Yes,21.0,Yes,Fiber optic,No,No,No,Month-to-month,Bank transfer (automatic),81.06,Yes
CUST100021,Male,0.0,,Yes,15.0,Yes,,No internet service,No internet service,No internet service,One year,Mailed check,91.98,No
CUST100022,Male,1.0,Yes,No,20.0,Yes,DSL,No internet service,Yes,No internet service,Two year,Mailed check,90.69,No
CUST100023,Female,0.0,Yes,No,11.0,No,Fiber optic,No internet service,No internet service,No internet service,Month-to-month,Credit card (automatic),103.52,Yes
CUST100024,Female,,Yes,No,29.0,Yes,DSL,Yes,,Yes,One year,Credit card (automatic),90.95,No
CUST100025,Female,0.0,No,Yes,62.0,No,No,Yes,Yes,Yes,Month-to-month,Credit card (automatic),57.01,No
CUST100026,Male,,Yes,No,56.0,Yes,No,No internet service,No,No internet service,Month-to-month,Mailed check,117.88,No
